Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-05-18 22:00:00+00:00,21370.0,21374.75,21283.75,21310.75,11010
2025-05-18 23:00:00+00:00,21381.25,21418.0,21355.75,21370.75,6005
2025-05-19 00:00:00+00:00,21302.75,21383.0,21264.75,21381.75,12622
2025-05-19 01:00:00+00:00,21274.75,21309.0,21273.25,21302.5,6125
2025-05-19 02:00:00+00:00,21263.75,21300.0,21260.75,21274.5,5976
2025-05-19 03:00:00+00:00,21212.0,21265.25,21196.25,21264.0,7249
2025-05-19 04:00:00+00:00,21221.0,21239.0,21205.5,21212.25,6119
2025-05-19 05:00:00+00:00,21247.0,21253.25,21212.5,21221.0,5100
2025-05-19 06:00:00+00:00,21187.25,21290.0,21186.5,21247.25,9910
2025-05-19 07:00:00+00:00,21194.5,21226.75,21162.25,21188.25,10424
2025-05-19 08:00:00+00:00,21135.25,21194.0,21112.5,21193.75,13718
2025-05-19 09:00:00+00:00,21164.75,21179.5,21118.0,21134.75,7137
2025-05-19 10:00:00+00:00,21186.25,21205.25,21130.5,21165.0,8014
2025-05-19 11:00:00+00:00,21204.25,21213.25,21161.0,21186.5,8180
2025-05-19 12:00:00+00:00,21212.25,21220.0,21164.5,21204.0,12148
2025-05-19 13:00:00+00:00,21356.25,21375.0,21153.25,21212.5,73015
2025-05-19 14:00:00+00:00,21392.5,21462.25,21347.75,21356.0,67413
2025-05-19 15:00:00+00:00,21433.75,21476.25,21379.75,21404.75,43048
2025-05-19 16:00:00+00:00,21498.5,21503.5,21428.25,21434.0,34777
2025-05-19 17:00:00+00:00,21499.25,21544.5,21493.5,21498.25,43212
2025-05-19 18:00:00+00:00,21495.75,21505.75,21449.75,21499.25,38110
2025-05-19 19:00:00+00:00,21523.25,21533.5,21443.5,21496.25,58982
2025-05-19 20:00:00+00:00,21517.0,21527.25,21478.25,21523.25,14536
2025-05-19 22:00:00+00:00,21500.0,21515.0,21493.0,21513.0,0
2025-05-19 23:00:00+00:00,21539.25,21562.0,21497.75,21499.75,7136
2025-05-20 00:00:00+00:00,21514.0,21562.25,21513.25,21539.0,5519
2025-05-20 01:00:00+00:00,21458.0,21514.0,21436.25,21513.25,8263
2025-05-20 02:00:00+00:00,21454.5,21466.75,21434.5,21458.5,4271
2025-05-20 03:00:00+00:00,21436.25,21454.75,21427.75,21453.5,3354
2025-05-20 04:00:00+00:00,21447.5,21452.0,21420.0,21434.75,3078
2025-05-20 05:00:00+00:00,21419.0,21487.0,21415.75,21446.25,5953
2025-05-20 06:00:00+00:00,21422.75,21431.75,21393.75,21419.0,6466
2025-05-20 07:00:00+00:00,21446.5,21481.0,21408.0,21422.25,8582
2025-05-20 08:00:00+00:00,21434.5,21461.25,21418.25,21444.25,6787
2025-05-20 09:00:00+00:00,21425.5,21452.5,21415.25,21434.25,4693
2025-05-20 10:00:00+00:00,21462.75,21464.75,21419.75,21427.75,5572
2025-05-20 11:00:00+00:00,21463.75,21483.75,21456.5,21463.0,6937
2025-05-20 12:00:00+00:00,21435.25,21474.25,21418.5,21462.75,9150
2025-05-20 13:00:00+00:00,21394.75,21458.25,21355.0,21435.5,61314
2025-05-20 14:00:00+00:00,21408.0,21451.0,21363.0,21394.75,56540
2025-05-20 15:00:00+00:00,21435.5,21445.75,21387.5,21407.25,37547
2025-05-20 16:00:00+00:00,21458.75,21472.0,21402.75,21435.5,31466
2025-05-20 17:00:00+00:00,21431.5,21474.25,21408.0,21459.25,30641
2025-05-20 18:00:00+00:00,21348.75,21441.5,21340.75,21430.5,45946
2025-05-20 19:00:00+00:00,21447.0,21452.0,21298.0,21348.75,64739
2025-05-20 20:00:00+00:00,21420.0,21452.0,21398.5,21447.25,14329
2025-05-20 22:00:00+00:00,21400.25,21417.25,21342.0,21414.75,0
2025-05-20 23:00:00+00:00,21431.5,21431.5,21397.25,21400.25,3357
2025-05-21 00:00:00+00:00,21423.25,21444.0,21403.0,21431.75,4671
2025-05-21 01:00:00+00:00,21401.5,21435.0,21388.75,21423.25,4869
2025-05-21 02:00:00+00:00,21378.75,21405.75,21373.25,21402.0,4395
2025-05-21 03:00:00+00:00,21381.5,21397.75,21369.25,21377.75,2933
2025-05-21 04:00:00+00:00,21357.75,21377.75,21349.75,21371.75,2900
2025-05-21 05:00:00+00:00,21331.25,21384.25,21327.0,21358.25,4381
2025-05-21 06:00:00+00:00,21294.5,21340.5,21286.5,21330.5,9416
2025-05-21 07:00:00+00:00,21343.25,21348.75,21293.25,21294.0,5485
2025-05-21 08:00:00+00:00,21322.5,21348.25,21289.25,21343.25,5621
2025-05-21 09:00:00+00:00,21269.75,21336.0,21261.25,21323.0,7219
2025-05-21 10:00:00+00:00,21300.25,21302.5,21229.75,21269.5,8452
2025-05-21 11:00:00+00:00,21340.0,21355.75,21296.0,21300.0,9161
2025-05-21 12:00:00+00:00,21311.75,21342.5,21284.0,21339.75,12420
2025-05-21 13:00:00+00:00,21373.75,21404.75,21262.5,21312.75,57617
2025-05-21 14:00:00+00:00,21456.25,21459.0,21363.0,21374.25,64560
2025-05-21 15:00:00+00:00,21515.75,21535.0,21447.0,21456.5,57284
2025-05-21 16:00:00+00:00,21515.25,21558.5,21508.5,21515.0,34769
2025-05-21 17:00:00+00:00,21271.25,21523.25,21159.5,21515.25,126208
